number,value,params_gamma,params_kernel,params_nu,user_attrs_MCC,user_attrs_accuracy,user_attrs_auc,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_score,state,duration
0,0.039993085714601695,auto,linear,0.19352465823520762,-0.21626589185963505,0.549410029498525,0.4272217709885742,0.03273269078549146,0.06541969104783175,0.02182687531048187,0.039993085714601695,COMPLETE,0 days 00:00:02.993288
1,0.41115783116199633,auto,rbf,0.03846096996241773,0.25681084719911595,0.6937575915321881,0.5779392945851962,0.3064302205629513,0.7333646837526452,0.19367858917039246,0.41115783116199633,COMPLETE,0 days 00:00:02.232230
2,0.5316527506496757,auto,rbf,0.41789689399220664,0.312365841127301,0.698312510845046,0.6487735717834079,0.5286842194435973,0.5818602222719474,0.48441381023348234,0.5316527506496757,COMPLETE,0 days 00:00:22.255676
